----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-02-21 16:18:09.035753

Actual Temperature / SetPoint / V1 / V2
0 0 0.1145 4.3413
20.60  0.00  0.1271 4.3384
20.60  0.00  0.1226 4.3503
20.60  0.00  0.12 4.3457
20.60  0.00  0.12 4.3457
20.60  0.00  0.1171 4.3564
20.60  0.00  0.1171 4.3564
20.60  0.00  0.1245 4.3363
20.60  0.00  0.1245 4.3363
20.60  0.00  0.1277 4.3495
20.60  0.00  0.1277 4.3495
20.60  0.00  0.1311 4.3346
20.60  0.00  0.1349 4.3462
20.60  0.00  0.1349 4.3462
20.60  0.00  0.1285 4.3566
20.60  0.00  0.1285 4.3566
20.60  0.00  0.1296 4.3633
20.60  0.00  0.1296 4.3633
20.60  0.00  0.1279 4.3497
20.60  0.00  0.1279 4.3497
20.60  0.00  0.125 4.3503
20.60  0.00  0.1244 4.3463
20.60  0.00  0.1244 4.3463
20.60  0.00  0.1172 4.3579
20.60  0.00  0.1172 4.3579
20.60  0.00  0.1183 4.3409
20.60  0.00  0.1183 4.3409
20.84  0.00  0.1206 4.3519
20.81  0.00  0.1206 4.3519
0.71739130434782620.78  0.00  0.1276 4.353
20.78  0.00  0.1302 4.3462
20.78  0.00  0.1302 4.3462
20.78  0.00  0.1342 4.3538
20.78  0.00  0.1342 4.3538
20.78  0.00  0.1287 4.348
20.78  0.00  0.1287 4.348
20.78  0.00  0.1274 4.3551
20.78  0.00  0.1274 4.3551
20.78  0.00  0.1262 4.3427
20.78  0.00  0.1229 4.3418
20.78  0.00  0.1229 4.3418
20.78  0.00  0.123 4.3402
20.78  0.00  0.123 4.3402
20.78  0.00  0.1226 4.3502
20.78  0.00  0.1226 4.3502
20.78  0.00  0.1193 4.3617
20.78  0.00  0.1219 4.3409
20.78  0.00  0.1219 4.3409
20.78  0.00  0.1272 4.3461
20.78  0.00  0.1272 4.3461
20.78  0.00  0.1339 4.3303
20.78  0.00  0.1339 4.3303
20.78  0.00  0.1346 4.3534
20.78  0.00  0.1346 4.3534
20.78  0.00  0.1331 4.3335
20.78  0.00  0.1271 4.3477
20.78  0.00  0.1271 4.3477
20.78  0.00  0.1288 4.3625
20.78  0.00  0.1288 4.3625
20.78  0.00  0.1235 4.3589
20.78  0.00  0.1235 4.3589
20.78  0.00  0.1224 4.3597
20.78  0.00  0.1224 4.3597
20.78  0.00  0.1216 4.3444
20.78  0.00  0.1172 4.3582
20.78  0.00  0.1172 4.3582
20.78  0.00  0.1204 4.3525
20.78  0.00  0.1204 4.3525
20.78  0.00  0.1248 4.3458
20.78  0.00  0.1248 4.3458
20.78  0.00  0.131 4.3643
20.78  0.00  0.131 4.3643
20.78  0.00  0.1345 4.3455
20.78  0.00  0.1335 4.3477
20.78  0.00  0.1335 4.3477
20.78  0.00  0.1256 4.3617
20.78  0.00  0.1256 4.3617
20.78  0.00  0.1239 4.3594
20.78  0.00  0.1239 4.3594
20.78  0.00  0.1229 4.3534
20.78  0.00  0.1195 4.3447
20.78  0.00  0.1195 4.3447
20.78  0.00  0.1233 4.343
20.78  0.00  0.1233 4.343
20.78  0.00  0.1256 4.3483
20.78  0.00  0.1256 4.3483
20.78  0.00  0.1221 4.3622
20.78  0.00  0.1221 4.3622
20.78  0.00  0.1285 4.3402
20.78  0.00  0.1323 4.3445
20.78  0.00  0.1323 4.3445
20.78  0.00  0.1326 4.3599
20.78  0.00  0.1326 4.3599
20.78  0.00  0.1328 4.3494
20.78  0.00  0.1328 4.3494
20.66  0.00  0.125 4.3577
20.72  0.00  0.125 4.3577
0.739130434782608620.60  0.00  0.1201 4.3589
0.760869565217391420.97  0.00  0.1167 4.3621
0.804347826086956520.66  0.00  0.1167 4.3621
0.826086956521739120.63  0.00  0.1237 4.3458
20.63  0.00  0.1237 4.3458
20.63  0.00  0.1212 4.3632
20.63  0.00  0.1212 4.3632
20.63  0.00  0.1298 4.3446
20.63  0.00  0.1284 4.3466
20.63  0.00  0.1284 4.3466
20.63  0.00  0.1328 4.3544
20.63  0.00  0.1328 4.3544
20.63  0.00  0.1324 4.3518
20.63  0.00  0.1324 4.3518
20.63  0.00  0.1279 4.3561
20.63  0.00  0.1257 4.3499
20.63  0.00  0.1257 4.3499
20.63  0.00  0.123 4.3365
20.63  0.00  0.123 4.3365
20.63  0.00  0.1195 4.3523
20.63  0.00  0.1195 4.3523
20.63  0.00  0.1215 4.3376
20.63  0.00  0.1262 4.3453
20.63  0.00  0.1262 4.3453
20.63  0.00  0.132 4.3623
20.63  0.00  0.132 4.3623
20.63  0.00  0.1327 4.3501----------------------------------
-         PROCESS STARTS         -
----------------------------------
2024-02-21 16:26:31.523347

Actual Temperature / SetPoint / V1 / V2
0 0 0.1193 4.3427
21.24  0.00  0.1154 4.3599
21.06  0.00  0.1216 4.3586
